name,label,deck,deckID,Type,playercount,cost,optioncost,VP,prereq,category,text,provides,alters,usereq,addsfuture,version,publisher,base,banned
2CFireplace,Fireplace,,1,MajorImp,,Cost2C,,1,,FPGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
3CFireplace,Fireplace,,2,MajorImp,,Cost3C,,1,,FPGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 2 Food Sheep: 2 Food Wild boar: 2 Food Cattle: 3 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 2 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
4CCookingHearth,Cooking Hearth,,3,MajorImp,,,CostFP;Cost4C,1,,CHGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
5CCookingHearth,Cooking Hearth,,4,MajorImp,,,CostFP;Cost5C,1,,CHGrp;BreadGrp;CookGrp;VPGrp,"At any time, you may convert goods to Food as follows: Vegetables: 3 Food Sheep: 2 Food Wild boar: 3 Food Cattle: 4 Food Whenever you use the ""Bake bread"" action, you may convert: Grain: 3 Food.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
ClayOven,Clay Oven,,5,MajorImp,,Cost3C;Cost1S,,2,,BreadGrp;VPGrp;OvenGrp,"Whenever you use the ""Bake bread"" Action, you can turn at most 1 Grain into 5 Food. When you take this card, you can immediately use the ""Bake bread"" Action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
StoneOven,Stone Oven,,6,MajorImp,,Cost1C;Cost3S,,3,,BreadGrp;VPGrp;OvenGrp,"Whenever you use the ""Bake bread"" Action, you can turn up to 2 Grain into 4 Food each. When you take this card, you can immediately use the ""Bake bread"" Action.",%1g;%1t,,,,OriginalVersion,Z-Man,BaseSet,false
Joinery,Joinery,,7,MajorImp,,Cost2W;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Joinery to convert at most 1 Wood to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Wood.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Pottery,Pottery,,8,MajorImp,,Cost2C;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Pottery to convert at most 1 Clay to 2 Food. At the end of the game, you receive 1/2/3 Bonus points for 3/5/7 Clay.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
BasketmakersWorkshop,Basketmaker's Workshop,,9,MajorImp,,Cost2R;Cost2S,,2,,VPGrp;BonusGrp;GuildGrp;BigImpPoints,"In each Harvest, you can use the Basketmaker's Workshop to convert at most 1 Reed to 3 Food. At the end of the game, you receive 1/2/3 Bonus points for 2/4/5 Reed.",%1g,,,,OriginalVersion,Z-Man,BaseSet,false
Well,Well,,10,MajorImp,,Cost1W;Cost3S,,4,,VPGrp;WellGrp;BigImpPoints,"Place 1 Food each on the next 5 remaining Round spaces. At the start of these rounds, you receive the Food.",%1g,,,%1g,OriginalVersion,Z-Man,BaseSet,false
Field,Field,E,11,MinorImp,,,,,,%9d,"When you play this card, immediately Plow 1 field.",%1fs;%9t,,,,OriginalVersion,Z-Man,BaseSet,false
FishingRod,Fishing Rod,E,12,MinorImp,,Cost1W,,,,%3u;%4u,"Whenever you use the ""Fishing"" Action space, you receive 1 additional Food. From Round 8, you receive 2 additional Food.",%1g,%7as,,,OriginalVersion,Z-Man,BaseSet,false
